yr|subject|winner
1927|Literature|Henri Bergson
1976|Economics|Milton Friedman
1971|Physics|Dennis Gabor
1985|Chemistry|Herbert A. Hauptman
2006|Chemistry|Roger D. Kornberg
1979|Medicine|Godfrey N. Hounsfield
2012|Literature|Mo Yan
1902|Peace|Ã‰lie Ducommun
1922|Peace|Fridtjof Nansen
1907|Literature|Rudyard Kipling
1911|Physics|Wilhelm Wien
2000|Chemistry|Alan G. MacDiarmid
2001|Medicine|Tim Hunt
1997|Peace|International Campaign to Ban Landmines
1905|Literature|Henryk Sienkiewicz
1985|Economics|Franco Modigliani
1976|Medicine|D. Carleton Gajdusek
1944|Peace|International Committee of the Red Cross
1956|Chemistry|Sir Cyril Hinshelwood
1966|Physics|Alfred Kastler
2015|Physics|Arthur B. McDonald
1963|Literature|Giorgos Seferis
2002|Chemistry|Kurt WÃ¼thrich
1999|Literature|GÃ¼nter Grass
1978|Literature|Isaac Bashevis Singer
1987|Chemistry|Donald J. Cram
1996|Economics|William Vickrey
2011|Physics|Brian Schmidt
1904|Literature|FrÃ©dÃ©ric Mistral
2006|Medicine|Andrew Z. Fire
1992|Economics|Gary S. Becker
1949|Medicine|Walter Hess
1957|Literature|Albert Camus
2002|Economics|Vernon L. Smith
1946|Medicine|Hermann J. Muller
1930|Physics|Sir Venkata Raman
1906|Medicine|Camillo Golgi
1913|Peace|Henri La Fontaine
2007|Medicine|Oliver Smithies
2004|Physics|David J. Gross
1950|Physics|Cecil Powell
1922|Chemistry|Francis W. Aston
1901|Literature|Sully Prudhomme
1967|Physics|Hans Bethe
1926|Chemistry|The Svedberg
1975|Peace|Andrei Sakharov
1976|Literature|Saul Bellow
2002|Chemistry|John B. Fenn
2000|Economics|James J. Heckman
2007|Economics|Leonid Hurwicz
1983|Physics|William A. Fowler
2008|Chemistry|Osamu Shimomura
2010|Chemistry|Richard F. Heck
1997|Chemistry|Paul D. Boyer
1981|Literature|Elias Canetti
1906|Peace|Theodore Roosevelt
1958|Chemistry|Frederick Sanger
1997|Economics|Robert C. Merton
1927|Physics|Arthur H. Compton
1909|Peace|Paul Henri d'Estournelles de Constant
2008|Medicine|Harald zur Hausen
1936|Chemistry|Peter Debye
1974|Literature|Eyvind Johnson
1968|Peace|RenÃ© Cassin
1969|Economics|Ragnar Frisch
1965|Medicine|AndrÃ© Lwoff
1903|Peace|Randal Cremer
1911|Medicine|Allvar Gullstrand
1964|Physics|Charles H. Townes
2010|Literature|Mario Vargas Llosa
1963|Physics|Maria Goeppert-Mayer
1982|Chemistry|Aaron Klug
1974|Economics|Friedrich August von Hayek
2001|Chemistry|Ryoji Noyori
1943|Medicine|Henrik Dam
1966|Medicine|Peyton Rous
2006|Peace|Grameen Bank
1985|Physics|Klaus von Klitzing
1977|Physics|John H. van Vleck
1969|Chemistry|Derek Barton
2004|Medicine|Linda B. Buck
1929|Physics|Louis de Broglie
1994|Literature|Kenzaburo Oe
1972|Physics|Leon N. Cooper
2001|Medicine|Leland H. Hartwell
1974|Literature|Harry Martinson
1910|Literature|Paul Heyse
1961|Medicine|Georg von BÃ©kÃ©sy
1959|Peace|Philip Noel-Baker
1986|Medicine|Rita Levi-Montalcini
1980|Medicine|Baruj Benacerraf
1912|Physics|Gustaf DalÃ©n
2007|Literature|Doris Lessing
1960|Medicine|Peter Medawar
1956|Physics|Walter H. Brattain
1959|Literature|Salvatore Quasimodo
1959|Chemistry|Jaroslav Heyrovsky
1974|Economics|Gunnar Myrdal
1977|Medicine|Roger Guillemin
1956|Physics|John Bardeen
2010|Chemistry|Ei-ichi Negishi
1944|Literature|Johannes V. Jensen
1974|Medicine|Christian de Duve
1909|Medicine|Theodor Kocher
1988|Medicine|Sir James W. Black
1999|Physics|Martinus J.G. Veltman
1971|Chemistry|Gerhard Herzberg
1979|Chemistry|Herbert C. Brown
1951|Literature|PÃ¤r Lagerkvist
2003|Literature|J. M. Coetzee
1944|Chemistry|Otto Hahn
1930|Literature|Sinclair Lewis
1960|Chemistry|Willard F. Libby
1962|Chemistry|John C. Kendrew
1977|Economics|Bertil Ohlin
1948|Literature|T.S. Eliot
1909|Physics|Guglielmo Marconi
2012|Medicine|Shinya Yamanaka
1920|Literature|Knut Hamsun
1917|Physics|Charles Glover Barkla
1966|Medicine|Charles B. Huggins
1930|Chemistry|Hans Fischer
1955|Physics|Willis E. Lamb
1993|Economics|Robert W. Fogel
1988|Physics|Jack Steinberger
1970|Medicine|Julius Axelrod
1947|Physics|Edward V. Appleton
1977|Chemistry|Ilya Prigogine
2001|Chemistry|William S. Knowles
1981|Physics|Arthur L. Schawlow
1982|Peace|Alva Myrdal
1989|Literature|Camilo JosÃ© Cela
1979|Economics|Sir Arthur Lewis
1991|Literature|Nadine Gordimer
1907|Peace|Ernesto Teodoro Moneta
2001|Literature|V. S. Naipaul
2002|Medicine|John E. Sulston
2006|Physics|George F. Smoot
1975|Medicine|Renato Dulbecco
1981|Physics|Kai M. Siegbahn
1937|Chemistry|Norman Haworth
1927|Medicine|Julius Wagner-Jauregg
1924|Physics|Manne Siegbahn
1932|Literature|John Galsworthy
1967|Literature|Miguel Angel Asturias
2003|Peace|Shirin Ebadi
1912|Chemistry|Victor Grignard
1962|Medicine|Francis Crick
1902|Physics|Hendrik A. Lorentz
1901|Chemistry|Jacobus H. van 't Hoff
1932|Medicine|Sir Charles Sherrington
1971|Economics|Simon Kuznets
2010|Chemistry|Akira Suzuki
1951|Physics|John Cockcroft
1968|Medicine|Marshall W. Nirenberg
2009|Physics|George E. Smith
2007|Economics|Eric S. Maskin
